scientific_name,msy_multiple_fishing,fishing_mort_bau,fishing_mort_rb,percent_mort_diff,mort_scenario,simulation_avm,simulation_prm,n_div_k,pred_avm_25,pred_avm_mean,pred_avm_75,pred_prm_25,pred_prm_mean,pred_prm_75
Alopias pelagicus,1.5,0.06186106275,0.03323762818765302,46.27051862659275,Full Retention,1,1,0.2529144935756599,0.23183314794215792,0.15884057971014495,0.6510726465364122,0.091875,0.361244966442953,0.429925
Alopias pelagicus,1.5,0.06186106275,0.03323762818765302,46.27051862659275,Low Mortality,0.15884057971014495,0.091875,0.8229085449032852,0.23183314794215792,0.15884057971014495,0.6510726465364122,0.091875,0.361244966442953,0.429925
Alopias pelagicus,1.5,0.06186106275,0.03323762818765302,46.27051862659275,Median Mortality,0.15884057971014495,0.361244966442953,0.6529747407186235,0.23183314794215792,0.15884057971014495,0.6510726465364122,0.091875,0.361244966442953,0.429925
Alopias pelagicus,1.5,0.06186106275,0.03323762818765302,46.27051862659275,High Mortality,0.6510726465364122,0.429925,0.3994832692056602,0.23183314794215792,0.15884057971014495,0.6510726465364122,0.091875,0.361244966442953,0.429925
Alopias superciliosus,1.5,0.04859941725,0.02611221483892322,46.27051862659275,Full Retention,1,1,0.2573146278773081,0.242,0.15884057971014495,0.5516212982351182,0.11357333333333336,0.361244966442953,0.2177977207977208
Alopias superciliosus,1.5,0.04859941725,0.02611221483892322,46.27051862659275,Low Mortality,0.15884057971014495,0.11357333333333336,0.8092229827638693,0.242,0.15884057971014495,0.5516212982351182,0.11357333333333336,0.361244966442953,0.2177977207977208
Alopias superciliosus,1.5,0.04859941725,0.02611221483892322,46.27051862659275,Median Mortality,0.15884057971014495,0.361244966442953,0.6530119090062919,0.242,0.15884057971014495,0.5516212982351182,0.11357333333333336,0.361244966442953,0.2177977207977208
Alopias superciliosus,1.5,0.04859941725,0.02611221483892322,46.27051862659275,High Mortality,0.5516212982351182,0.361244966442953,0.4653563124409937,0.242,0.15884057971014495,0.5516212982351182,0.11357333333333336,0.361244966442953,0.2177977207977208
Alopias vulpinus,1.5,0.06190762500000001,0.03499550881178765,43.47140790526588,Full Retention,1,1,0.2529051405738153,0.23183314794215792,0.11501923076923076,0.6510726465364122,0.11501923076923076,0.361244966442953,0.2177977207977208
Alopias vulpinus,1.5,0.06190762500000001,0.03499550881178765,43.47140790526588,Low Mortality,0.11501923076923076,0.11501923076923076,0.8373933081361054,0.23183314794215792,0.11501923076923076,0.6510726465364122,0.11501923076923076,0.361244966442953,0.2177977207977208
Alopias vulpinus,1.5,0.06190762500000001,0.03499550881178765,43.47140790526588,Median Mortality,0.11501923076923076,0.361244966442953,0.6739668667931802,0.23183314794215792,0.11501923076923076,0.6510726465364122,0.11501923076923076,0.361244966442953,0.2177977207977208
Alopias vulpinus,1.5,0.06190762500000001,0.03499550881178765,43.47140790526588,High Mortality,0.6510726465364122,0.361244966442953,0.417380140920008,0.23183314794215792,0.11501923076923076,0.6510726465364122,0.11501923076923076,0.361244966442953,0.2177977207977208
Apristurus fedorovi,1.5,0.01224239730944418,0.009659073535330102,21.10145348837208,Full Retention,1,1,0.3737232283838434,0.01151205673758865,0.17383720930232557,0.38488645458587656,0.157,0.045,0.5
Apristurus fedorovi,1.5,0.01224239730944418,0.009659073535330102,21.10145348837208,Low Mortality,0.01151205673758865,0.045,0.9597540106762124,0.01151205673758865,0.17383720930232557,0.38488645458587656,0.157,0.045,0.5
Apristurus fedorovi,1.5,0.01224239730944418,0.009659073535330102,21.10145348837208,Median Mortality,0.17383720930232557,0.045,0.8502949865927127,0.01151205673758865,0.17383720930232557,0.38488645458587656,0.157,0.045,0.5
Apristurus fedorovi,1.5,0.01224239730944418,0.009659073535330102,21.10145348837208,High Mortality,0.38488645458587656,0.5,0.5387342221874775,0.01151205673758865,0.17383720930232557,0.38488645458587656,0.157,0.045,0.5
Apristurus macrostomus,1.5,0.05447083000691234,0.04385255875951488,19.493499999999997,Full Retention,1,1,0.25485992596378937,0.01151205673758865,0.157,0.38488645458587656,0.157,0.045,0.5
Apristurus macrostomus,1.5,0.05447083000691234,0.04385255875951488,19.493499999999997,Low Mortality,0.01151205673758865,0.045,0.9580045128317998,0.01151205673758865,0.157,0.38488645458587656,0.157,0.045,0.5
Apristurus macrostomus,1.5,0.05447083000691234,0.04385255875951488,19.493499999999997,Median Mortality,0.157,0.045,0.8537991124474825,0.01151205673758865,0.157,0.38488645458587656,0.157,0.045,0.5
Apristurus macrostomus,1.5,0.05447083000691234,0.04385255875951488,19.493499999999997,High Mortality,0.38488645458587656,0.5,0.48087406179048064,0.01151205673758865,0.157,0.38488645458587656,0.157,0.045,0.5
Apristurus micropterygeus,1.5,0.0697385377560006,0.05502269264794731,21.10145348837211,Full Retention,1,1,0.25169316421446913,0.01151205673758865,0.17383720930232557,0.38488645458587656,0.157,0.045,0.5
Apristurus micropterygeus,1.5,0.0697385377560006,0.05502269264794731,21.10145348837211,Low Mortality,0.01151205673758865,0.045,0.9580044897079084,0.01151205673758865,0.17383720930232557,0.38488645458587656,0.157,0.045,0.5
