scientific_name,family,reproductive_mode,ac,median_depth,max_size_cm,ventilation_method,habitat,estimate_type,mortality_prop,gear_class,estimate_type_new
Isurus oxyrinchus,Lamnidae,matrotrophic viviparity,13.922,375,445,ram,pelagic,AVM Longline,0.371823526376871,Longline,AVM
Isurus oxyrinchus,Lamnidae,matrotrophic viviparity,13.922,375,445,ram,pelagic,PRM Longline,0.19345794323873955,Longline,PRM
Carcharhinus falciformis,Carcharhinidae,matrotrophic viviparity,10.089,250,350,ram,pelagic,AVM Longline,0.4031263726549653,Longline,AVM
Carcharhinus falciformis,Carcharhinidae,matrotrophic viviparity,10.089,250,350,ram,pelagic,PRM Longline,0.16807918343554656,Longline,PRM
Sphyrna zygaena,Sphyrnidae,matrotrophic viviparity,10.906,100,400,ram,pelagic,AVM Longline,0.4206657186847548,Longline,AVM
Sphyrna zygaena,Sphyrnidae,matrotrophic viviparity,10.906,100,400,ram,pelagic,PRM Longline,0.27379853044400954,Longline,PRM
Alopias superciliosus,Alopiidae,matrotrophic viviparity,11.023,361.5,484,ram,pelagic,AVM Longline,0.37580511037527914,Longline,AVM
Alopias superciliosus,Alopiidae,matrotrophic viviparity,11.023,361.5,484,ram,pelagic,PRM Longline,0.1874466378352171,Longline,PRM
Carcharhinus longimanus,Carcharhinidae,matrotrophic viviparity,9.5821,541,350,ram,pelagic,AVM Longline,0.3269132656760586,Longline,AVM
Carcharhinus longimanus,Carcharhinidae,matrotrophic viviparity,9.5821,541,350,ram,pelagic,PRM Longline,0.15999349166082424,Longline,PRM
Carcharhinus obscurus,Carcharhinidae,matrotrophic viviparity,7.0963,250,420,ram,pelagic,AVM Longline,0.40939474747333143,Longline,AVM
Carcharhinus obscurus,Carcharhinidae,matrotrophic viviparity,7.0963,250,420,ram,pelagic,PRM Longline,0.1961615554794743,Longline,PRM
Isurus paucus,Lamnidae,matrotrophic viviparity,10.319,876,427,ram,pelagic,AVM Longline,0.33033795358924445,Longline,AVM
Isurus paucus,Lamnidae,matrotrophic viviparity,10.319,876,427,ram,pelagic,PRM Longline,0.17050140306773617,Longline,PRM
Carcharhinus plumbeus,Carcharhinidae,matrotrophic viviparity,15.327,140,243,ram,demersal,AVM Longline,0.4091248998638954,Longline,AVM
Carcharhinus plumbeus,Carcharhinidae,matrotrophic viviparity,15.327,140,243,ram,demersal,PRM Longline,0.17068845815465322,Longline,PRM
Lamna nasus,Lamnidae,matrotrophic viviparity,6.2338,904.5,365,ram,pelagic,AVM Longline,0.3485154291289193,Longline,AVM
Lamna nasus,Lamnidae,matrotrophic viviparity,6.2338,904.5,365,ram,pelagic,PRM Longline,0.1823949458487749,Longline,PRM
Carcharhinus galapagensis,Carcharhinidae,matrotrophic viviparity,7.0985,143,300,ram,pelagic,AVM Longline,0.40502033840050744,Longline,AVM
Carcharhinus galapagensis,Carcharhinidae,matrotrophic viviparity,7.0985,143,300,ram,pelagic,PRM Longline,0.33066692626861793,Longline,PRM
Isistius brasiliensis,Dalatiidae,lecithotrophic viviparity,15.604,1850,42,ram,pelagic,AVM Longline,0.2229684474790496,Longline,AVM
Isistius brasiliensis,Dalatiidae,lecithotrophic viviparity,15.604,1850,42,ram,pelagic,PRM Longline,0.2799849183650535,Longline,PRM
Lamna ditropis,Lamnidae,matrotrophic viviparity,6.2338,325,305,ram,pelagic,AVM Longline,0.4154351158626757,Longline,AVM
Lamna ditropis,Lamnidae,matrotrophic viviparity,6.2338,325,305,ram,pelagic,PRM Longline,0.278877400961903,Longline,PRM
Carcharhinus amblyrhynchos,Carcharhinidae,matrotrophic viviparity,6.8746,137.5,265,ram,pelagic,AVM Longline,0.40624632474074057,Longline,AVM
Carcharhinus amblyrhynchos,Carcharhinidae,matrotrophic viviparity,6.8746,137.5,265,ram,pelagic,PRM Longline,0.3146499709326851,Longline,PRM
Carcharhinus signatus,Carcharhinidae,matrotrophic viviparity,10.667,300,280,ram,demersal,AVM Longline,0.41153967987567747,Longline,AVM
Carcharhinus signatus,Carcharhinidae,matrotrophic viviparity,10.667,300,280,ram,demersal,PRM Longline,0.24781463058976244,Longline,PRM
